/opt/homebrew/Caskroom/miniforge/base/envs/DL-tf/lib/python3.8/site-packages/transformers/optimization.py:588: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
Epoch 1, Loss: 0.6902431845664978
Epoch 1, Loss: 0.700110912322998
Epoch 1, Loss: 0.6842862367630005
Epoch 1, Loss: 0.6688308715820312
Epoch 1, Loss: 0.6614832282066345
Epoch 1, Loss: 0.6583092212677002
Epoch 1, Loss: 0.659298300743103
Epoch 1, Loss: 0.6575055122375488
Epoch 1, Loss: 0.6335921883583069
Epoch 1, Loss: 0.638246476650238
Epoch 1, Loss: 0.6208483576774597
Epoch 1, Loss: 0.6246194243431091
Epoch 1, Loss: 0.6076152324676514
Epoch 1, Loss: 0.6040992140769958
Epoch 1, Loss: 0.6235448122024536
Epoch 1, Loss: 0.6025612950325012
Epoch 1, Loss: 0.6104686260223389
Epoch 1, Loss: 0.6025699377059937
Epoch 1, Loss: 0.5811053514480591
Epoch 1, Loss: 0.5994687676429749
Epoch 1, Loss: 0.5851143002510071
Epoch 1, Loss: 0.5791659355163574
Epoch 1, Loss: 0.5833951234817505
Epoch 1, Loss: 0.5734123587608337
Epoch 1, Loss: 0.5807656645774841
Epoch 1, Loss: 0.567705512046814
Epoch 1, Loss: 0.5702152848243713
Epoch 1, Loss: 0.57020103931427
Epoch 1, Loss: 0.5678039193153381
Epoch 1, Loss: 0.5643055438995361
Epoch 1, Loss: 0.5704939365386963
Epoch 1, Loss: 0.5653587579727173
Epoch 1, Loss: 0.5719353556632996
Epoch 1, Loss: 0.5717144012451172
Epoch 1, Loss: 0.5677787661552429
Epoch 1, Loss: 0.5549962520599365
Epoch 1, Loss: 0.5571984648704529
Epoch 1, Loss: 0.5565976500511169
Epoch 1, Loss: 0.5629558563232422
Epoch 1, Loss: 0.557530403137207
Epoch 1, Loss: 0.5560414791107178
Epoch 1, Loss: 0.5588792562484741
Epoch 1, Loss: 0.5475441217422485
Epoch 1, Loss: 0.5439627170562744
Epoch 1, Loss: 0.5667809247970581
Epoch 1, Loss: 0.5522516369819641
Epoch 1, Loss: 0.5658278465270996
Epoch 1, Loss: 0.576147198677063
Epoch 1, Loss: 0.5499923229217529
Epoch 1, Loss: 0.554649829864502
Epoch 1, Loss: 0.5537176132202148
Epoch 1, Loss: 0.5525170564651489
Epoch 1, Loss: 0.552317202091217
Epoch 1, Loss: 0.5584092736244202
Epoch 1, Loss: 0.5539618730545044
Epoch 1, Loss: 0.5568052530288696
Epoch 1, Loss: 0.5475791096687317
Epoch 1, Loss: 0.5546653270721436
Epoch 1, Loss: 0.5520161986351013
Epoch 1, Loss: 0.5578802227973938
Epoch 1, Loss: 0.5506246089935303
Epoch 1, Loss: 0.5405908823013306
Epoch 1, Loss: 0.5594919323921204
Epoch 1, Loss: 0.5526665449142456
Epoch 1, Loss: 0.5361886024475098
Epoch 1, Loss: 0.5471882820129395
Epoch 1, Loss: 0.5458061695098877
Epoch 1, Loss: 0.5458530783653259
Epoch 1, Loss: 0.5483866930007935
Epoch 1, Loss: 0.5587960481643677
Epoch 1, Loss: 0.5326372385025024
Epoch 1, Loss: 0.5244503021240234
Epoch 1, Loss: 0.5326736569404602
Epoch 1, Loss: 0.5379933714866638
Epoch 1, Loss: 0.5522002577781677
Epoch 1, Loss: 0.5297571420669556
Epoch 1, Loss: 0.5407703518867493
Epoch 1, Loss: 0.5489336252212524
Epoch 1, Loss: 0.5276917815208435
Epoch 1, Loss: 0.5497082471847534
Epoch 1, Loss: 0.5383650064468384
Epoch 1, Loss: 0.5205799341201782
Epoch 1, Loss: 0.5308169722557068
Epoch 1, Loss: 0.5207737684249878
Epoch 1, Loss: 0.5017589330673218
Epoch 1, Loss: 0.5231410264968872
Epoch 1, Loss: 0.5487149953842163
Epoch 1, Loss: 0.5255271792411804
Epoch 1, Loss: 0.5308278799057007
Epoch 1, Loss: 0.5592149496078491
Epoch 1, Loss: 0.5621574521064758
Epoch 1, Loss: 0.5392603874206543
Epoch 1, Loss: 0.5252285599708557
Epoch 1, Loss: 0.5165218114852905
Epoch 1, Loss: 0.5297248959541321
Epoch 1, Loss: 0.5017719268798828
Epoch 1, Loss: 0.5294018983840942
Epoch 1, Loss: 0.5151804089546204
Epoch 1, Loss: 0.5327540040016174
Epoch 1, Loss: 0.49692076444625854
Epoch 1, Loss: 0.5185102224349976
Epoch 1, Loss: 0.5311253666877747
Epoch 1, Loss: 0.495059609413147
Epoch 1, Loss: 0.5371482968330383
Epoch 1, Loss: 0.4900739789009094
Epoch 1, Loss: 0.5252043604850769
Epoch 1, Loss: 0.49745044112205505
Epoch 1, Loss: 0.4976688027381897
Epoch 1, Loss: 0.5028374195098877
Epoch 1, Loss: 0.44872117042541504
Epoch 1, Loss: 0.4950947165489197
Epoch 1, Loss: 0.4892559051513672
Epoch 1, Loss: 0.5012802481651306
Epoch 1, Loss: 0.4880829453468323
Epoch 1, Loss: 0.46096745133399963
Epoch 1, Loss: 0.5055627822875977
Epoch 1, Loss: 0.5191037654876709
Epoch 1, Loss: 0.45856261253356934
Epoch 1, Loss: 0.4645305871963501
Epoch 1, Loss: 0.43801170587539673
Epoch 1, Loss: 0.4845309853553772
Epoch 1, Loss: 0.477145254611969
Epoch 1, Loss: 0.4774506986141205
Epoch 1, Loss: 0.4934922456741333
