/opt/homebrew/Caskroom/miniforge/base/envs/DL-tf/lib/python3.8/site-packages/transformers/optimization.py:588: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
Epoch 1, Loss: 0.7092340588569641
Epoch 1, Loss: 0.674412727355957
Epoch 1, Loss: 0.6787539124488831
Epoch 1, Loss: 0.664097249507904
Epoch 1, Loss: 0.6537759304046631
Epoch 1, Loss: 0.6482159495353699
Epoch 1, Loss: 0.6348261833190918
Epoch 1, Loss: 0.6214024424552917
Epoch 1, Loss: 0.6234560012817383
Epoch 1, Loss: 0.6153024435043335
Epoch 1, Loss: 0.6092960834503174
Epoch 1, Loss: 0.590510368347168
Epoch 1, Loss: 0.5863171815872192
Epoch 1, Loss: 0.5901041030883789
Epoch 1, Loss: 0.5662440061569214
Epoch 1, Loss: 0.5758600234985352
Epoch 1, Loss: 0.5777646899223328
Epoch 1, Loss: 0.5810882449150085
Epoch 1, Loss: 0.5637801885604858
Epoch 1, Loss: 0.5592822432518005
Epoch 1, Loss: 0.5383147597312927
Epoch 1, Loss: 0.5299156904220581
Epoch 1, Loss: 0.5404799580574036
Epoch 1, Loss: 0.5335632562637329
Epoch 1, Loss: 0.5130589008331299
Epoch 1, Loss: 0.5311955809593201
Epoch 1, Loss: 0.5127480030059814
Epoch 1, Loss: 0.49044889211654663
Epoch 1, Loss: 0.4889723062515259
Epoch 1, Loss: 0.5358131527900696
Epoch 1, Loss: 0.5275622606277466
Epoch 1, Loss: 0.4564807713031769
Epoch 1, Loss: 0.5187885761260986
Epoch 1, Loss: 0.4870683252811432
Epoch 1, Loss: 0.4921727776527405
Epoch 1, Loss: 0.5311570167541504
Epoch 1, Loss: 0.5206408500671387
Epoch 1, Loss: 0.49789637327194214
Epoch 1, Loss: 0.4765503406524658
Epoch 1, Loss: 0.458189457654953
Epoch 1, Loss: 0.49706268310546875
Epoch 1, Loss: 0.4580593407154083
Epoch 1, Loss: 0.47475457191467285
Epoch 1, Loss: 0.4992687404155731
Epoch 1, Loss: 0.48014897108078003
Epoch 1, Loss: 0.5176670551300049
Epoch 1, Loss: 0.5277613401412964
Epoch 1, Loss: 0.4821523129940033
Epoch 1, Loss: 0.4773310124874115
Epoch 1, Loss: 0.4864289164543152
Epoch 1, Loss: 0.4695678651332855
Epoch 1, Loss: 0.4942958354949951
Epoch 1, Loss: 0.5128502249717712
Epoch 1, Loss: 0.49537891149520874
Epoch 1, Loss: 0.4735659956932068
Epoch 1, Loss: 0.5344351530075073
Epoch 1, Loss: 0.49616947770118713
Epoch 1, Loss: 0.5300043821334839
Epoch 1, Loss: 0.45423072576522827
Epoch 1, Loss: 0.5362244844436646
Epoch 1, Loss: 0.4727535545825958
Epoch 1, Loss: 0.4647109806537628
Epoch 1, Loss: 0.460568904876709
Epoch 1, Loss: 0.46040189266204834
Epoch 1, Loss: 0.4901711344718933
Epoch 1, Loss: 0.5217128992080688
Epoch 1, Loss: 0.46704530715942383
Epoch 1, Loss: 0.48977261781692505
Epoch 1, Loss: 0.4696548581123352
Epoch 1, Loss: 0.48265478014945984
Epoch 1, Loss: 0.48494237661361694
Epoch 1, Loss: 0.47070765495300293
Epoch 1, Loss: 0.4507289528846741
Epoch 1, Loss: 0.4842110872268677
Epoch 1, Loss: 0.4315473735332489
Epoch 1, Loss: 0.4809632897377014
Epoch 1, Loss: 0.46163079142570496
Epoch 1, Loss: 0.427545428276062
Epoch 1, Loss: 0.44452396035194397
Epoch 1, Loss: 0.4273354113101959
Epoch 1, Loss: 0.43170732259750366
Epoch 1, Loss: 0.4502182602882385
Epoch 1, Loss: 0.40978819131851196
Epoch 1, Loss: 0.4327544569969177
Epoch 1, Loss: 0.43580782413482666
Epoch 1, Loss: 0.40606433153152466
Epoch 1, Loss: 0.42835792899131775
Epoch 1, Loss: 0.40742263197898865
Epoch 1, Loss: 0.43764179944992065
Epoch 1, Loss: 0.39452260732650757
Epoch 1, Loss: 0.3890264332294464
Epoch 1, Loss: 0.43686962127685547
Epoch 1, Loss: 0.455100417137146
Epoch 1, Loss: 0.4313381314277649
Epoch 1, Loss: 0.4136863052845001
Epoch 1, Loss: 0.4512483477592468
Epoch 1, Loss: 0.37879520654678345
Epoch 1, Loss: 0.40612733364105225
