/opt/homebrew/Caskroom/miniforge/base/envs/DL-tf/lib/python3.8/site-packages/transformers/optimization.py:588: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
Epoch 1, Loss: 0.7021780610084534
Epoch 1, Loss: 0.6737967729568481
Epoch 1, Loss: 0.6615965366363525
Epoch 1, Loss: 0.6574356555938721
Epoch 1, Loss: 0.6570497751235962
Epoch 1, Loss: 0.6581730246543884
Epoch 1, Loss: 0.6163861155509949
Epoch 1, Loss: 0.6303985118865967
Epoch 1, Loss: 0.6297654509544373
Epoch 1, Loss: 0.6368144154548645
Epoch 1, Loss: 0.578510582447052
Epoch 1, Loss: 0.5756384134292603
Epoch 1, Loss: 0.5828364491462708
Epoch 1, Loss: 0.5927085876464844
Epoch 1, Loss: 0.566948652267456
Epoch 1, Loss: 0.5485458970069885
Epoch 1, Loss: 0.599095344543457
Epoch 1, Loss: 0.5522579550743103
Epoch 1, Loss: 0.5720279812812805
Epoch 1, Loss: 0.5692961812019348
Epoch 1, Loss: 0.5535901784896851
Epoch 1, Loss: 0.5539467334747314
Epoch 1, Loss: 0.5746659636497498
Epoch 1, Loss: 0.5493650436401367
Epoch 1, Loss: 0.544305145740509
Epoch 1, Loss: 0.5403944253921509
Epoch 1, Loss: 0.5392369031906128
Epoch 1, Loss: 0.5468053817749023
Epoch 1, Loss: 0.5173187255859375
Epoch 1, Loss: 0.5208011269569397
Epoch 1, Loss: 0.5473594665527344
Epoch 1, Loss: 0.5682275295257568
Epoch 1, Loss: 0.5029345154762268
Epoch 1, Loss: 0.5392205119132996
Epoch 1, Loss: 0.4804585576057434
Epoch 1, Loss: 0.5293721556663513
Epoch 1, Loss: 0.45798760652542114
Epoch 1, Loss: 0.4910997748374939
Epoch 1, Loss: 0.5068070292472839
Epoch 1, Loss: 0.5236477255821228
Epoch 1, Loss: 0.516863226890564
Epoch 1, Loss: 0.47060471773147583
Epoch 1, Loss: 0.47738197445869446
Epoch 1, Loss: 0.499811589717865
Epoch 1, Loss: 0.5000194311141968
Epoch 1, Loss: 0.4668698012828827
Epoch 1, Loss: 0.4921676814556122
Epoch 1, Loss: 0.49052128195762634
Epoch 1, Loss: 0.5144156813621521
Epoch 1, Loss: 0.4747355580329895
Epoch 1, Loss: 0.5221474170684814
Epoch 1, Loss: 0.5114251971244812
Epoch 1, Loss: 0.5358328819274902
Epoch 1, Loss: 0.4815004765987396
Epoch 1, Loss: 0.5146093964576721
Epoch 1, Loss: 0.4876347780227661
Epoch 1, Loss: 0.49411875009536743
Epoch 1, Loss: 0.4971289038658142
Epoch 1, Loss: 0.510368287563324
Epoch 1, Loss: 0.4849991202354431
Epoch 1, Loss: 0.5103877186775208
Epoch 1, Loss: 0.465896338224411
Epoch 1, Loss: 0.4662077724933624
Epoch 1, Loss: 0.4503974914550781
Epoch 1, Loss: 0.4941938817501068
Epoch 1, Loss: 0.47844696044921875
Epoch 1, Loss: 0.5111965537071228
Epoch 1, Loss: 0.49765071272850037
Epoch 1, Loss: 0.40108823776245117
Epoch 1, Loss: 0.4526831805706024
Epoch 1, Loss: 0.47168853878974915
Epoch 1, Loss: 0.41453540325164795
Epoch 1, Loss: 0.49978840351104736
Epoch 1, Loss: 0.3944607675075531
Epoch 1, Loss: 0.4666350483894348
Epoch 1, Loss: 0.4732418954372406
Epoch 1, Loss: 0.475729763507843
