/opt/homebrew/Caskroom/miniforge/base/envs/DL-tf/lib/python3.8/site-packages/transformers/optimization.py:588: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
Epoch 1, Loss: 0.714870035648346
Epoch 1, Loss: 0.7171229720115662
Epoch 1, Loss: 0.6756125688552856
Epoch 1, Loss: 0.6646691560745239
Epoch 1, Loss: 0.6437643766403198
Epoch 1, Loss: 0.6689009666442871
Epoch 1, Loss: 0.6448918581008911
Epoch 1, Loss: 0.6628760099411011
Epoch 1, Loss: 0.6631768941879272
Epoch 1, Loss: 0.6255441904067993
Epoch 1, Loss: 0.6269009113311768
Epoch 1, Loss: 0.6286357045173645
Epoch 1, Loss: 0.6235964894294739
Epoch 1, Loss: 0.6101177930831909
Epoch 1, Loss: 0.6060502529144287
Epoch 1, Loss: 0.5881264805793762
Epoch 1, Loss: 0.5965731739997864
Epoch 1, Loss: 0.5920718908309937
Epoch 1, Loss: 0.572479784488678
Epoch 1, Loss: 0.5703221559524536
Epoch 1, Loss: 0.5638328194618225
Epoch 1, Loss: 0.56646728515625
Epoch 1, Loss: 0.5595858693122864
Epoch 1, Loss: 0.5572429299354553
Epoch 1, Loss: 0.5398986339569092
Epoch 1, Loss: 0.5380059480667114
Epoch 1, Loss: 0.5353927612304688
Epoch 1, Loss: 0.5322884321212769
Epoch 1, Loss: 0.5285736918449402
Epoch 1, Loss: 0.533838152885437
Epoch 1, Loss: 0.5286499261856079
Epoch 1, Loss: 0.540787398815155
Epoch 1, Loss: 0.5146042108535767
Epoch 1, Loss: 0.5164166688919067
Epoch 1, Loss: 0.5236539840698242
Epoch 1, Loss: 0.509585440158844
Epoch 1, Loss: 0.515387237071991
Epoch 1, Loss: 0.5126520991325378
Epoch 1, Loss: 0.5015848278999329
Epoch 1, Loss: 0.4910922944545746
Epoch 1, Loss: 0.4929053783416748
Epoch 1, Loss: 0.4864116311073303
Epoch 1, Loss: 0.4966864585876465
Epoch 1, Loss: 0.5106456875801086
Epoch 1, Loss: 0.48607882857322693
Epoch 1, Loss: 0.49327272176742554
Epoch 1, Loss: 0.5011793375015259
Epoch 1, Loss: 0.49980267882347107
Epoch 1, Loss: 0.48762303590774536
Epoch 1, Loss: 0.5000112652778625
Epoch 1, Loss: 0.48961377143859863
Epoch 1, Loss: 0.4860668182373047
Epoch 1, Loss: 0.49492621421813965
Epoch 1, Loss: 0.4886907637119293
Epoch 1, Loss: 0.48319801688194275
Epoch 1, Loss: 0.491118848323822
Epoch 1, Loss: 0.49675077199935913
Epoch 1, Loss: 0.4832325875759125
Epoch 1, Loss: 0.4840133786201477
Epoch 1, Loss: 0.47149658203125
Epoch 1, Loss: 0.47961512207984924
Epoch 1, Loss: 0.48916298151016235
Epoch 1, Loss: 0.48515215516090393
Epoch 1, Loss: 0.4768370985984802
Epoch 1, Loss: 0.4923067092895508
Epoch 1, Loss: 0.4939354360103607
Epoch 1, Loss: 0.47450655698776245
Epoch 1, Loss: 0.4751257300376892
Epoch 1, Loss: 0.49066653847694397
Epoch 1, Loss: 0.4783955514431
Epoch 1, Loss: 0.4780680537223816
Epoch 1, Loss: 0.4740357995033264
Epoch 1, Loss: 0.470264732837677
Epoch 1, Loss: 0.46960434317588806
Epoch 1, Loss: 0.46320676803588867
Epoch 1, Loss: 0.4735220968723297
Epoch 1, Loss: 0.46373695135116577
Epoch 1, Loss: 0.4526544213294983
Epoch 1, Loss: 0.4524649977684021
Epoch 1, Loss: 0.4670112133026123
Epoch 1, Loss: 0.4529428482055664
Epoch 1, Loss: 0.43943923711776733
Epoch 1, Loss: 0.4599928855895996
Epoch 1, Loss: 0.46552133560180664
Epoch 1, Loss: 0.44617462158203125
Epoch 1, Loss: 0.44094547629356384
Epoch 1, Loss: 0.44529733061790466
Epoch 1, Loss: 0.44905704259872437
Epoch 1, Loss: 0.4498322606086731
Epoch 1, Loss: 0.435674250125885
Epoch 1, Loss: 0.4444538950920105
Epoch 1, Loss: 0.43484973907470703
Epoch 1, Loss: 0.4387739598751068
Epoch 1, Loss: 0.43913698196411133
Epoch 1, Loss: 0.41330528259277344
Epoch 1, Loss: 0.4336574673652649
Epoch 1, Loss: 0.4343752861022949
Epoch 1, Loss: 0.4466283321380615
Epoch 1, Loss: 0.43205857276916504
Epoch 1, Loss: 0.44092217087745667
Epoch 1, Loss: 0.4264833927154541
Epoch 1, Loss: 0.4266146719455719
Epoch 1, Loss: 0.42377328872680664
Epoch 1, Loss: 0.4029533267021179
Epoch 1, Loss: 0.45045605301856995
Epoch 1, Loss: 0.38640525937080383
Epoch 1, Loss: 0.39203858375549316
Epoch 1, Loss: 0.38755983114242554
Epoch 1, Loss: 0.4133566915988922
Epoch 1, Loss: 0.3903229534626007
Epoch 1, Loss: 0.42880263924598694
Epoch 1, Loss: 0.4068080484867096
Epoch 1, Loss: 0.41850894689559937
Epoch 1, Loss: 0.3851357102394104
Epoch 1, Loss: 0.4006726145744324
Epoch 1, Loss: 0.38154953718185425
Epoch 1, Loss: 0.4207872748374939
Epoch 1, Loss: 0.40931805968284607
Epoch 1, Loss: 0.3841548562049866
Epoch 1, Loss: 0.41371041536331177
Epoch 1, Loss: 0.41083985567092896
Epoch 1, Loss: 0.38852453231811523
Epoch 1, Loss: 0.3674395978450775
Epoch 1, Loss: 0.34494414925575256
Epoch 1, Loss: 0.4414287507534027
Epoch 1, Loss: 0.4070945382118225
Epoch 1, Loss: 0.3775145709514618
Epoch 1, Loss: 0.38486623764038086
Epoch 1, Loss: 0.36514028906822205
Epoch 1, Loss: 0.3508743643760681
Epoch 1, Loss: 0.3877736032009125
Epoch 1, Loss: 0.39964860677719116
Epoch 1, Loss: 0.3798558712005615
Epoch 1, Loss: 0.38530558347702026
Epoch 1, Loss: 0.36649519205093384
Epoch 1, Loss: 0.3717612028121948
Epoch 1, Loss: 0.35538429021835327
Epoch 1, Loss: 0.33073100447654724
Epoch 1, Loss: 0.3697362542152405
Epoch 1, Loss: 0.3502251207828522
Epoch 1, Loss: 0.3415393829345703
Epoch 1, Loss: 0.41166767477989197
Epoch 1, Loss: 0.3250609040260315
Epoch 1, Loss: 0.31275811791419983
Epoch 1, Loss: 0.35868915915489197
Epoch 1, Loss: 0.36395424604415894
Epoch 1, Loss: 0.34932488203048706
Epoch 1, Loss: 0.32744747400283813
Epoch 1, Loss: 0.38442617654800415
Epoch 1, Loss: 0.35012951493263245
Epoch 1, Loss: 0.30495598912239075
Epoch 1, Loss: 0.3443073630332947
Epoch 1, Loss: 0.3475866913795471
Epoch 1, Loss: 0.3628520965576172
Epoch 1, Loss: 0.3085273802280426
Epoch 1, Loss: 0.33949369192123413
Epoch 1, Loss: 0.2945646345615387
Epoch 1, Loss: 0.3194747865200043
Epoch 1, Loss: 0.3301160931587219
Epoch 1, Loss: 0.3417105972766876
Epoch 1, Loss: 0.3125559985637665
Epoch 1, Loss: 0.3316190242767334
Epoch 1, Loss: 0.30696240067481995
Epoch 1, Loss: 0.38220590353012085
Epoch 1, Loss: 0.2820747494697571
Epoch 1, Loss: 0.35171863436698914
Epoch 1, Loss: 0.3448988199234009
Epoch 1, Loss: 0.29997190833091736
Epoch 1, Loss: 0.3466668725013733
Epoch 1, Loss: 0.28735437989234924
Epoch 1, Loss: 0.3016037344932556
Epoch 1, Loss: 0.28801608085632324
Epoch 1, Loss: 0.26714086532592773
Epoch 1, Loss: 0.306147038936615
Epoch 1, Loss: 0.3093385696411133
Epoch 1, Loss: 0.3107122480869293
Epoch 1, Loss: 0.31985169649124146
Epoch 1, Loss: 0.3311237692832947
Epoch 1, Loss: 0.3038216531276703
Epoch 1, Loss: 0.26924237608909607
Epoch 1, Loss: 0.28163623809814453
Epoch 1, Loss: 0.274497926235199
Epoch 1, Loss: 0.32328781485557556
Epoch 1, Loss: 0.2374027520418167
Epoch 1, Loss: 0.27117177844047546
Epoch 1, Loss: 0.238820880651474
Epoch 1, Loss: 0.2639409601688385
Epoch 1, Loss: 0.2689068615436554
Epoch 1, Loss: 0.27386996150016785
Epoch 1, Loss: 0.263472318649292
Epoch 1, Loss: 0.24779736995697021
Epoch 1, Loss: 0.30484193563461304
Epoch 1, Loss: 0.21857908368110657
Epoch 1, Loss: 0.22857002913951874
Epoch 1, Loss: 0.2644701898097992
Epoch 1, Loss: 0.2728191614151001
Epoch 1, Loss: 0.26426008343696594
Epoch 1, Loss: 0.22749514877796173
Epoch 1, Loss: 0.2738388180732727
Epoch 1, Loss: 0.25464552640914917
Epoch 1, Loss: 0.26635900139808655
Epoch 1, Loss: 0.31306421756744385
Epoch 1, Loss: 0.28024959564208984
Epoch 1, Loss: 0.25593024492263794
Epoch 1, Loss: 0.27928560972213745
Epoch 1, Loss: 0.31578701734542847
Epoch 1, Loss: 0.2618338167667389
Epoch 1, Loss: 0.28115445375442505
Epoch 1, Loss: 0.25279003381729126
Epoch 1, Loss: 0.24496662616729736
Epoch 1, Loss: 0.23989947140216827
Epoch 1, Loss: 0.36184221506118774
Epoch 1, Loss: 0.3046720325946808
Epoch 1, Loss: 0.21958379447460175
Epoch 1, Loss: 0.2860186994075775
Epoch 1, Loss: 0.28692659735679626
Epoch 1, Loss: 0.2615371346473694
Epoch 1, Loss: 0.21508753299713135
Epoch 1, Loss: 0.23398080468177795
Epoch 1, Loss: 0.3242631256580353
Epoch 1, Loss: 0.20463097095489502
Epoch 1, Loss: 0.29655203223228455
Epoch 1, Loss: 0.28847137093544006
Epoch 1, Loss: 0.24499578773975372
Epoch 1, Loss: 0.2166125476360321
Epoch 1, Loss: 0.25736305117607117
Epoch 1, Loss: 0.27003732323646545
Epoch 1, Loss: 0.209207683801651
Epoch 1, Loss: 0.2073974609375
Epoch 1, Loss: 0.21675066649913788
Epoch 1, Loss: 0.2374526560306549
Epoch 1, Loss: 0.1917816698551178
Epoch 1, Loss: 0.25998973846435547
Epoch 1, Loss: 0.25503700971603394
Epoch 1, Loss: 0.3044261932373047
Epoch 1, Loss: 0.21707788109779358
Epoch 1, Loss: 0.25350385904312134
Epoch 1, Loss: 0.2843345105648041
Epoch 1, Loss: 0.30727964639663696
Epoch 1, Loss: 0.21371090412139893
Epoch 1, Loss: 0.2127993106842041
Epoch 1, Loss: 0.28540265560150146
Epoch 1, Loss: 0.21628054976463318
Epoch 1, Loss: 0.27991098165512085
Epoch 1, Loss: 0.20797638595104218
Epoch 1, Loss: 0.30865827202796936
Epoch 1, Loss: 0.2314365804195404
Epoch 1, Loss: 0.30325746536254883
Epoch 1, Loss: 0.24614059925079346
Epoch 1, Loss: 0.2661600708961487
Epoch 1, Loss: 0.19302240014076233
Epoch 1, Loss: 0.23157668113708496
Epoch 1, Loss: 0.23507459461688995
Epoch 1, Loss: 0.2697924077510834
Epoch 1, Loss: 0.17513322830200195
Epoch 1, Loss: 0.24358852207660675
Epoch 1, Loss: 0.26365038752555847
Epoch 1, Loss: 0.24754557013511658
Epoch 1, Loss: 0.26870307326316833
Epoch 1, Loss: 0.26972496509552
Epoch 1, Loss: 0.25490397214889526
Epoch 1, Loss: 0.1918548196554184
Epoch 1, Loss: 0.24466495215892792
Epoch 1, Loss: 0.20591092109680176
Epoch 1, Loss: 0.21809601783752441
Epoch 1, Loss: 0.17957258224487305
Epoch 1, Loss: 0.19899307191371918
Epoch 1, Loss: 0.2156415432691574
Epoch 1, Loss: 0.20767422020435333
Epoch 1, Loss: 0.20433351397514343
Epoch 1, Loss: 0.2461499720811844
Epoch 1, Loss: 0.2904214859008789
Epoch 1, Loss: 0.2461256980895996
Epoch 1, Loss: 0.28986939787864685
Epoch 1, Loss: 0.23013825714588165
Epoch 1, Loss: 0.2324419915676117
Epoch 1, Loss: 0.21887676417827606
Epoch 1, Loss: 0.26006942987442017
Epoch 1, Loss: 0.2707880437374115
Epoch 1, Loss: 0.20492064952850342
Epoch 1, Loss: 0.20339027047157288
Epoch 1, Loss: 0.16262777149677277
Epoch 1, Loss: 0.20751123130321503
Epoch 1, Loss: 0.18499155342578888
Epoch 1, Loss: 0.21184463798999786
Epoch 1, Loss: 0.19148734211921692
Epoch 1, Loss: 0.2607748210430145
Epoch 1, Loss: 0.26932817697525024
Epoch 1, Loss: 0.13552843034267426
Epoch 1, Loss: 0.205434650182724
Epoch 1, Loss: 0.22937969863414764
Epoch 1, Loss: 0.28652822971343994
Epoch 1, Loss: 0.24953925609588623
Epoch 1, Loss: 0.19691689312458038
Epoch 1, Loss: 0.24530406296253204
Epoch 1, Loss: 0.20081591606140137
Epoch 1, Loss: 0.12797267735004425
Epoch 1, Loss: 0.17834767699241638
Epoch 1, Loss: 0.22575895488262177
Epoch 1, Loss: 0.17210213840007782
Epoch 1, Loss: 0.16653546690940857
Epoch 1, Loss: 0.15089401602745056
Epoch 1, Loss: 0.21841876208782196
Epoch 1, Loss: 0.2001139223575592
Epoch 1, Loss: 0.17827045917510986
Epoch 1, Loss: 0.1636505126953125
Epoch 1, Loss: 0.16231407225131989
Epoch 1, Loss: 0.1395576298236847
Epoch 1, Loss: 0.3326170742511749
Epoch 1, Loss: 0.30857035517692566
Epoch 1, F1 Score: 0.5523271455474845
Epoch 2, Loss: 0.21787719428539276
Epoch 2, Loss: 0.13903383910655975
Epoch 2, Loss: 0.16602276265621185
Epoch 2, Loss: 0.20413212478160858
Epoch 2, Loss: 0.14384286105632782
Epoch 2, Loss: 0.27776163816452026
Epoch 2, Loss: 0.22441589832305908
Epoch 2, Loss: 0.19776232540607452
Epoch 2, Loss: 0.13135449588298798
Epoch 2, Loss: 0.1665651500225067
Epoch 2, Loss: 0.13412515819072723
Epoch 2, Loss: 0.1293584108352661
Epoch 2, Loss: 0.11920057237148285
Epoch 2, Loss: 0.12214658409357071
Epoch 2, Loss: 0.1822270303964615
Epoch 2, Loss: 0.17251941561698914
Epoch 2, Loss: 0.2431037873029709
Epoch 2, Loss: 0.16062836349010468
Epoch 2, Loss: 0.28707703948020935
Epoch 2, Loss: 0.17025525867938995
Epoch 2, Loss: 0.19560733437538147
Epoch 2, Loss: 0.1738809198141098
Epoch 2, Loss: 0.13264602422714233
Epoch 2, Loss: 0.19211789965629578
Epoch 2, Loss: 0.15094488859176636
Epoch 2, Loss: 0.16392068564891815
Epoch 2, Loss: 0.14437493681907654
Epoch 2, Loss: 0.1709817349910736
Epoch 2, Loss: 0.122794508934021
Epoch 2, Loss: 0.22073683142662048
Epoch 2, Loss: 0.15999576449394226
Epoch 2, Loss: 0.2892809808254242
Epoch 2, Loss: 0.32512396574020386
Epoch 2, Loss: 0.1489308625459671
Epoch 2, Loss: 0.29231953620910645
Epoch 2, Loss: 0.18159538507461548
Epoch 2, Loss: 0.15429411828517914
Epoch 2, Loss: 0.12497808039188385
Epoch 2, Loss: 0.15801434218883514
Epoch 2, Loss: 0.11653764545917511
Epoch 2, Loss: 0.1528920829296112
Epoch 2, Loss: 0.1617216169834137
Epoch 2, Loss: 0.1980339139699936
Epoch 2, Loss: 0.18617665767669678
Epoch 2, Loss: 0.14187122881412506
Epoch 2, Loss: 0.2743009328842163
Epoch 2, Loss: 0.1343804895877838
Epoch 2, Loss: 0.2049456387758255
Epoch 2, Loss: 0.2105497568845749
Epoch 2, Loss: 0.1647849977016449
Epoch 2, Loss: 0.12473399937152863
Epoch 2, Loss: 0.16248005628585815
Epoch 2, Loss: 0.1527934968471527
Epoch 2, Loss: 0.1365748643875122
Epoch 2, Loss: 0.16298118233680725
Epoch 2, Loss: 0.23173074424266815
Epoch 2, Loss: 0.1685275137424469
Epoch 2, Loss: 0.22736212611198425
Epoch 2, Loss: 0.16193045675754547
Epoch 2, Loss: 0.21614737808704376
Epoch 2, Loss: 0.19970032572746277
Epoch 2, Loss: 0.1609792858362198
Epoch 2, Loss: 0.20420773327350616
Epoch 2, Loss: 0.17865465581417084
Epoch 2, Loss: 0.12666666507720947
Epoch 2, Loss: 0.173088937997818
Epoch 2, Loss: 0.26364731788635254
Epoch 2, Loss: 0.22349639236927032
Epoch 2, Loss: 0.2615278363227844
Epoch 2, Loss: 0.11374525725841522
Epoch 2, Loss: 0.1599704921245575
Epoch 2, Loss: 0.1712016761302948
Epoch 2, Loss: 0.12893269956111908
Epoch 2, Loss: 0.20848765969276428
Epoch 2, Loss: 0.19296416640281677
Epoch 2, Loss: 0.16468064486980438
Epoch 2, Loss: 0.22055724263191223
Epoch 2, Loss: 0.17065085470676422
Epoch 2, Loss: 0.15859849750995636
Epoch 2, Loss: 0.10069012641906738
Epoch 2, Loss: 0.17280380427837372
Epoch 2, Loss: 0.17671048641204834
Epoch 2, Loss: 0.19162854552268982
Epoch 2, Loss: 0.1489412784576416
Epoch 2, Loss: 0.19914498925209045
Epoch 2, Loss: 0.12749482691287994
Epoch 2, Loss: 0.14367564022541046
Epoch 2, Loss: 0.15995392203330994
Epoch 2, Loss: 0.17628762125968933
Epoch 2, Loss: 0.11454983055591583
Epoch 2, Loss: 0.12148119509220123
Epoch 2, Loss: 0.18894776701927185
Epoch 2, Loss: 0.20921650528907776
Epoch 2, Loss: 0.1408480703830719
Epoch 2, Loss: 0.10463856160640717
Epoch 2, Loss: 0.12455465644598007
Epoch 2, Loss: 0.21789005398750305
Epoch 2, Loss: 0.11491779237985611
Epoch 2, Loss: 0.21109536290168762
Epoch 2, Loss: 0.17824968695640564
Epoch 2, Loss: 0.13343998789787292
Epoch 2, Loss: 0.2271960973739624
Epoch 2, Loss: 0.20501622557640076
Epoch 2, Loss: 0.2402031123638153
Epoch 2, Loss: 0.1428661346435547
Epoch 2, Loss: 0.23433908820152283
Epoch 2, Loss: 0.17701128125190735
Epoch 2, Loss: 0.1931832730770111
Epoch 2, Loss: 0.15677249431610107
Epoch 2, Loss: 0.13096536695957184
Epoch 2, Loss: 0.13857220113277435
Epoch 2, Loss: 0.25460952520370483
Epoch 2, Loss: 0.12771491706371307
Epoch 2, Loss: 0.24558572471141815
Epoch 2, Loss: 0.16937807202339172
Epoch 2, Loss: 0.303607314825058
Epoch 2, Loss: 0.12827301025390625
Epoch 2, Loss: 0.1307789385318756
Epoch 2, Loss: 0.19080805778503418
Epoch 2, Loss: 0.21768435835838318
Epoch 2, Loss: 0.14698722958564758
Epoch 2, Loss: 0.18070968985557556
Epoch 2, Loss: 0.2180720865726471
Epoch 2, Loss: 0.21439222991466522
Epoch 2, Loss: 0.12492604553699493
Epoch 2, Loss: 0.14757657051086426
Epoch 2, Loss: 0.20150327682495117
Epoch 2, Loss: 0.11777695268392563
Epoch 2, Loss: 0.1507178097963333
Epoch 2, Loss: 0.11217781156301498
Epoch 2, Loss: 0.14658938348293304
Epoch 2, Loss: 0.22745180130004883
Epoch 2, Loss: 0.16567163169384003
Epoch 2, Loss: 0.23945125937461853
Epoch 2, Loss: 0.16344186663627625
Epoch 2, Loss: 0.24689598381519318
Epoch 2, Loss: 0.18786205351352692
Epoch 2, Loss: 0.15890268981456757
Epoch 2, Loss: 0.16697445511817932
Epoch 2, Loss: 0.17415188252925873
Epoch 2, Loss: 0.21725383400917053
Epoch 2, Loss: 0.15488088130950928
Epoch 2, Loss: 0.11790122091770172
Epoch 2, Loss: 0.16585299372673035
Epoch 2, Loss: 0.1560734212398529
Epoch 2, Loss: 0.13430435955524445
Epoch 2, Loss: 0.15348204970359802
Epoch 2, Loss: 0.156101256608963
Epoch 2, Loss: 0.08954794704914093
Epoch 2, Loss: 0.140029177069664
Epoch 2, Loss: 0.14110536873340607
Epoch 2, Loss: 0.141114741563797
Epoch 2, Loss: 0.08934678882360458
Epoch 2, Loss: 0.13351207971572876
Epoch 2, Loss: 0.15091881155967712
Epoch 2, Loss: 0.11448848247528076
Epoch 2, Loss: 0.16673707962036133
Epoch 2, Loss: 0.15466861426830292
Epoch 2, Loss: 0.1137063130736351
Epoch 2, Loss: 0.11685939133167267
Epoch 2, Loss: 0.14005817472934723
Epoch 2, Loss: 0.12611481547355652
Epoch 2, Loss: 0.12637484073638916
Epoch 2, Loss: 0.09182889759540558
Epoch 2, Loss: 0.18465980887413025
Epoch 2, Loss: 0.16453829407691956
Epoch 2, Loss: 0.20482167601585388
Epoch 2, Loss: 0.11184106022119522
Epoch 2, Loss: 0.1466454267501831
Epoch 2, Loss: 0.1934279203414917
Epoch 2, Loss: 0.20902416110038757
Epoch 2, Loss: 0.2122475802898407
Epoch 2, Loss: 0.16185711324214935
Epoch 2, Loss: 0.1828915774822235
Epoch 2, Loss: 0.27695077657699585
Epoch 2, Loss: 0.1988215148448944
Epoch 2, Loss: 0.18142671883106232
Epoch 2, Loss: 0.13717536628246307
Epoch 2, Loss: 0.15172258019447327
Epoch 2, Loss: 0.20132574439048767
Epoch 2, Loss: 0.13703152537345886
Epoch 2, Loss: 0.17329217493534088
Epoch 2, Loss: 0.13468465209007263
Epoch 2, Loss: 0.09767542034387589
Epoch 2, Loss: 0.2536730170249939
Epoch 2, Loss: 0.23658521473407745
Epoch 2, Loss: 0.19823744893074036
Epoch 2, Loss: 0.2115873545408249
Epoch 2, Loss: 0.09847943484783173
Epoch 2, Loss: 0.18605937063694
Epoch 2, Loss: 0.1680084764957428
Epoch 2, Loss: 0.1352856308221817
Epoch 2, Loss: 0.17849847674369812
Epoch 2, Loss: 0.13816241919994354
Epoch 2, Loss: 0.09406951814889908
Epoch 2, Loss: 0.15524427592754364
Epoch 2, Loss: 0.09869550913572311
Epoch 2, Loss: 0.10348423570394516
Epoch 2, Loss: 0.1523822844028473
Epoch 2, Loss: 0.20061254501342773
