/opt/homebrew/Caskroom/miniforge/base/envs/DL-tf/lib/python3.8/site-packages/transformers/optimization.py:588: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
Epoch 1, Loss: 0.6987115740776062
Epoch 1, Loss: 0.6823911070823669
Epoch 1, Loss: 0.681223452091217
Epoch 1, Loss: 0.6612743735313416
Epoch 1, Loss: 0.6611205339431763
Epoch 1, Loss: 0.6476903557777405
Epoch 1, Loss: 0.6624501943588257
Epoch 1, Loss: 0.6424208879470825
Epoch 1, Loss: 0.6269060969352722
Epoch 1, Loss: 0.624834418296814
Epoch 1, Loss: 0.6174601316452026
Epoch 1, Loss: 0.6120895147323608
Epoch 1, Loss: 0.6156072616577148
Epoch 1, Loss: 0.6201103329658508
Epoch 1, Loss: 0.6111342906951904
Epoch 1, Loss: 0.6033325791358948
Epoch 1, Loss: 0.5891873240470886
Epoch 1, Loss: 0.5929974317550659
Epoch 1, Loss: 0.592781662940979
Epoch 1, Loss: 0.5768433809280396
Epoch 1, Loss: 0.5804281234741211
Epoch 1, Loss: 0.5705065131187439
Epoch 1, Loss: 0.5590649843215942
Epoch 1, Loss: 0.5649319887161255
Epoch 1, Loss: 0.5551480650901794
Epoch 1, Loss: 0.552926778793335
Epoch 1, Loss: 0.5448513031005859
Epoch 1, Loss: 0.5487225651741028
Epoch 1, Loss: 0.5373241305351257
Epoch 1, Loss: 0.5465614795684814
Epoch 1, Loss: 0.5400353670120239
Epoch 1, Loss: 0.5245281457901001
Epoch 1, Loss: 0.5409071445465088
Epoch 1, Loss: 0.5106448531150818
Epoch 1, Loss: 0.5327757596969604
Epoch 1, Loss: 0.5083571672439575
Epoch 1, Loss: 0.5119806528091431
Epoch 1, Loss: 0.514624834060669
Epoch 1, Loss: 0.5042859315872192
Epoch 1, Loss: 0.5072458386421204
Epoch 1, Loss: 0.49838486313819885
Epoch 1, Loss: 0.5142945051193237
Epoch 1, Loss: 0.4968512952327728
Epoch 1, Loss: 0.4986061155796051
Epoch 1, Loss: 0.5022822618484497
Epoch 1, Loss: 0.4934328496456146
Epoch 1, Loss: 0.5032839179039001
Epoch 1, Loss: 0.4997272491455078
Epoch 1, Loss: 0.5051631927490234
Epoch 1, Loss: 0.49136191606521606
Epoch 1, Loss: 0.49288398027420044
Epoch 1, Loss: 0.4920610785484314
Epoch 1, Loss: 0.4945148527622223
Epoch 1, Loss: 0.4773138463497162
Epoch 1, Loss: 0.4914717674255371
Epoch 1, Loss: 0.48379772901535034
Epoch 1, Loss: 0.48777642846107483
Epoch 1, Loss: 0.47526341676712036
Epoch 1, Loss: 0.49091678857803345
Epoch 1, Loss: 0.47134965658187866
Epoch 1, Loss: 0.4889121651649475
Epoch 1, Loss: 0.500671923160553
Epoch 1, Loss: 0.4857758581638336
Epoch 1, Loss: 0.4651459753513336
Epoch 1, Loss: 0.48137933015823364
Epoch 1, Loss: 0.49312669038772583
Epoch 1, Loss: 0.4666580557823181
Epoch 1, Loss: 0.477275550365448
Epoch 1, Loss: 0.4804532527923584
Epoch 1, Loss: 0.47071781754493713
Epoch 1, Loss: 0.47157320380210876
Epoch 1, Loss: 0.46516117453575134
Epoch 1, Loss: 0.4752557873725891
Epoch 1, Loss: 0.4438168406486511
Epoch 1, Loss: 0.4578320384025574
Epoch 1, Loss: 0.44404855370521545
Epoch 1, Loss: 0.4653788208961487
Epoch 1, Loss: 0.46768370270729065
Epoch 1, Loss: 0.46899351477622986
Epoch 1, Loss: 0.45252150297164917
Epoch 1, Loss: 0.4814934730529785
Epoch 1, Loss: 0.4646221101284027
Epoch 1, Loss: 0.4549742341041565
Epoch 1, Loss: 0.47128981351852417
Epoch 1, Loss: 0.46495121717453003
Epoch 1, Loss: 0.4693516790866852
Epoch 1, Loss: 0.44122323393821716
Epoch 1, Loss: 0.4491208493709564
Epoch 1, Loss: 0.45468416810035706
Epoch 1, Loss: 0.44822007417678833
Epoch 1, Loss: 0.4234910011291504
Epoch 1, Loss: 0.44052034616470337
Epoch 1, Loss: 0.4724978804588318
Epoch 1, Loss: 0.4218232035636902
Epoch 1, Loss: 0.41182607412338257
Epoch 1, Loss: 0.4354607164859772
Epoch 1, Loss: 0.4553726613521576
Epoch 1, Loss: 0.424574613571167
Epoch 1, Loss: 0.40839701890945435
Epoch 1, Loss: 0.4333154261112213
Epoch 1, Loss: 0.41349220275878906
Epoch 1, Loss: 0.43167561292648315
Epoch 1, Loss: 0.4275999069213867
Epoch 1, Loss: 0.41468214988708496
Epoch 1, Loss: 0.4320322573184967
Epoch 1, Loss: 0.42973852157592773
Epoch 1, Loss: 0.3897858262062073
Epoch 1, Loss: 0.433506578207016
Epoch 1, Loss: 0.4207775592803955
Epoch 1, Loss: 0.40932464599609375
Epoch 1, Loss: 0.45278826355934143
Epoch 1, Loss: 0.4068070948123932
Epoch 1, Loss: 0.4296226501464844
Epoch 1, Loss: 0.36449939012527466
Epoch 1, Loss: 0.4228339195251465
Epoch 1, Loss: 0.4178876280784607
Epoch 1, Loss: 0.40643563866615295
Epoch 1, Loss: 0.4127499461174011
Epoch 1, Loss: 0.3867274224758148
Epoch 1, Loss: 0.376827597618103
Epoch 1, Loss: 0.3507062494754791
Epoch 1, Loss: 0.37061384320259094
Epoch 1, Loss: 0.418414443731308
Epoch 1, Loss: 0.3814896047115326
Epoch 1, Loss: 0.3823077082633972
Epoch 1, Loss: 0.4075678288936615
Epoch 1, Loss: 0.3805577754974365
Epoch 1, Loss: 0.36606061458587646
Epoch 1, Loss: 0.4018781781196594
Epoch 1, Loss: 0.4418146014213562
Epoch 1, Loss: 0.36981701850891113
Epoch 1, Loss: 0.3801782727241516
Epoch 1, Loss: 0.37343546748161316
Epoch 1, Loss: 0.38543301820755005
Epoch 1, Loss: 0.38832488656044006
Epoch 1, Loss: 0.3468690514564514
Epoch 1, Loss: 0.3639993369579315
Epoch 1, Loss: 0.3826441764831543
Epoch 1, Loss: 0.3443017601966858
Epoch 1, Loss: 0.4094018042087555
Epoch 1, Loss: 0.3763996362686157
Epoch 1, Loss: 0.3404443562030792
Epoch 1, Loss: 0.30198922753334045
Epoch 1, Loss: 0.34071293473243713
Epoch 1, Loss: 0.34490078687667847
Epoch 1, Loss: 0.3662133514881134
Epoch 1, Loss: 0.3524414896965027
Epoch 1, Loss: 0.36639851331710815
Epoch 1, Loss: 0.3743697702884674
Epoch 1, Loss: 0.3149411678314209
Epoch 1, Loss: 0.3974429965019226
Epoch 1, Loss: 0.3469688296318054
Epoch 1, Loss: 0.37132778763771057
Epoch 1, Loss: 0.3322504460811615
Epoch 1, Loss: 0.34187865257263184
Epoch 1, Loss: 0.3189946115016937
Epoch 1, Loss: 0.28202393651008606
Epoch 1, Loss: 0.29944586753845215
Epoch 1, Loss: 0.40983596444129944
Epoch 1, Loss: 0.2796372175216675
Epoch 1, Loss: 0.3533819317817688
Epoch 1, Loss: 0.30956822633743286
Epoch 1, Loss: 0.30933594703674316
Epoch 1, Loss: 0.38920480012893677
Epoch 1, Loss: 0.30296650528907776
Epoch 1, Loss: 0.3121981918811798
Epoch 1, Loss: 0.3188864290714264
Epoch 1, Loss: 0.2593116760253906
Epoch 1, Loss: 0.29931220412254333
Epoch 1, Loss: 0.3442405164241791
Epoch 1, Loss: 0.26221388578414917
Epoch 1, Loss: 0.29741424322128296
Epoch 1, Loss: 0.28800442814826965
Epoch 1, Loss: 0.2901570498943329
Epoch 1, Loss: 0.33364152908325195
Epoch 1, Loss: 0.21870693564414978
Epoch 1, Loss: 0.32720836997032166
Epoch 1, Loss: 0.3535485565662384
Epoch 1, Loss: 0.30154722929000854
Epoch 1, Loss: 0.28911036252975464
Epoch 1, Loss: 0.33979812264442444
Epoch 1, Loss: 0.3317953944206238
Epoch 1, Loss: 0.27481406927108765
Epoch 1, Loss: 0.30412057042121887
Epoch 1, Loss: 0.2862696051597595
Epoch 1, Loss: 0.26919063925743103
Epoch 1, Loss: 0.26225394010543823
Epoch 1, Loss: 0.318825900554657
Epoch 1, Loss: 0.31714168190956116
