/opt/homebrew/Caskroom/miniforge/base/envs/DL-tf/lib/python3.8/site-packages/transformers/optimization.py:588: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
Epoch 1, Loss: 0.6634519696235657
Epoch 1, Loss: 0.6393942832946777
Epoch 1, Loss: 0.6506972312927246
Epoch 1, Loss: 0.654224693775177
Epoch 1, Loss: 0.6515302658081055
Epoch 1, Loss: 0.6006909608840942
Epoch 1, Loss: 0.6226104497909546
Epoch 1, Loss: 0.6060933470726013
Epoch 1, Loss: 0.5875017046928406
Epoch 1, Loss: 0.591791033744812
Epoch 1, Loss: 0.5991355776786804
Epoch 1, Loss: 0.5770138502120972
Epoch 1, Loss: 0.572783350944519
Epoch 1, Loss: 0.5793277621269226
Epoch 1, Loss: 0.5553005933761597
Epoch 1, Loss: 0.5392841100692749
Epoch 1, Loss: 0.5645570755004883
Epoch 1, Loss: 0.5413546562194824
Epoch 1, Loss: 0.5442748665809631
Epoch 1, Loss: 0.5462422966957092
Epoch 1, Loss: 0.5500720143318176
Epoch 1, Loss: 0.5374804139137268
Epoch 1, Loss: 0.5295901894569397
Epoch 1, Loss: 0.525521457195282
Epoch 1, Loss: 0.5163503885269165
Epoch 1, Loss: 0.5112816095352173
Epoch 1, Loss: 0.5129177570343018
Epoch 1, Loss: 0.5160890221595764
Epoch 1, Loss: 0.5083092451095581
Epoch 1, Loss: 0.5202149152755737
Epoch 1, Loss: 0.4978696405887604
Epoch 1, Loss: 0.5016096830368042
Epoch 1, Loss: 0.5031207203865051
Epoch 1, Loss: 0.49853816628456116
Epoch 1, Loss: 0.5094040632247925
Epoch 1, Loss: 0.49714145064353943
Epoch 1, Loss: 0.49903830885887146
Epoch 1, Loss: 0.49243584275245667
Epoch 1, Loss: 0.5002041459083557
Epoch 1, Loss: 0.49557071924209595
Epoch 1, Loss: 0.4936944842338562
Epoch 1, Loss: 0.4875803589820862
Epoch 1, Loss: 0.4997190833091736
Epoch 1, Loss: 0.4891940653324127
Epoch 1, Loss: 0.4878152906894684
Epoch 1, Loss: 0.48385635018348694
