/opt/homebrew/Caskroom/miniforge/base/envs/DL-tf/lib/python3.8/site-packages/transformers/optimization.py:588: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
Epoch 1, Loss: 0.7013221979141235
Epoch 1, Loss: 0.6996883153915405
Epoch 1, Loss: 0.6844092607498169
Epoch 1, Loss: 0.6719270944595337
Epoch 1, Loss: 0.6444048881530762
Epoch 1, Loss: 0.6335002183914185
Epoch 1, Loss: 0.6252531409263611
Epoch 1, Loss: 0.610680878162384
Epoch 1, Loss: 0.5844714641571045
Epoch 1, Loss: 0.5830055475234985
Epoch 1, Loss: 0.6104978322982788
Epoch 1, Loss: 0.562850296497345
Epoch 1, Loss: 0.5492865443229675
Epoch 1, Loss: 0.5264586210250854
Epoch 1, Loss: 0.5186970233917236
Epoch 1, Loss: 0.5184566378593445
Epoch 1, Loss: 0.4919540286064148
Epoch 1, Loss: 0.4655349850654602
Epoch 1, Loss: 0.4989488124847412
Epoch 1, Loss: 0.48036670684814453
Epoch 1, Loss: 0.48711881041526794
Epoch 1, Loss: 0.4411466717720032
Epoch 1, Loss: 0.42776331305503845
Epoch 1, Loss: 0.39710837602615356
Epoch 1, Loss: 0.39678269624710083
Epoch 1, Loss: 0.3991850018501282
Epoch 1, Loss: 0.35324424505233765
Epoch 1, Loss: 0.3569415509700775
Epoch 1, Loss: 0.45336323976516724
Epoch 1, Loss: 0.37220141291618347
Epoch 1, Loss: 0.374237060546875
Epoch 1, Loss: 0.40138211846351624
Epoch 1, Loss: 0.3660273253917694
Epoch 1, Loss: 0.4009740948677063
Epoch 1, Loss: 0.3551012873649597
Epoch 1, Loss: 0.3780968487262726
Epoch 1, Loss: 0.3650813698768616
Epoch 1, Loss: 0.30211716890335083
Epoch 1, Loss: 0.2733023762702942
Epoch 1, Loss: 0.3888494670391083
Epoch 1, Loss: 0.28743916749954224
Epoch 1, Loss: 0.2856917083263397
Epoch 1, Loss: 0.2760722041130066
Epoch 1, Loss: 0.27443116903305054
Epoch 1, Loss: 0.23947295546531677
Epoch 1, Loss: 0.303566038608551
Epoch 1, Loss: 0.42074474692344666
Epoch 1, Loss: 0.3303217589855194
Epoch 1, Loss: 0.2197066843509674
Epoch 1, Loss: 0.3182075023651123
Epoch 1, Loss: 0.28145235776901245
Epoch 1, Loss: 0.18038128316402435
Epoch 1, Loss: 0.21051371097564697
Epoch 1, Loss: 0.3783571720123291
Epoch 1, Loss: 0.23607516288757324
Epoch 1, Loss: 0.3117654621601105
Epoch 1, Loss: 0.1986391842365265
Epoch 1, Loss: 0.34748291969299316
Epoch 1, Loss: 0.4088270664215088
Epoch 1, Loss: 0.19652721285820007
Epoch 1, Loss: 0.258846253156662
Epoch 1, Loss: 0.1874571591615677
Epoch 1, Loss: 0.25202903151512146
Epoch 1, Loss: 0.21974484622478485
Epoch 1, Loss: 0.372816264629364
Epoch 1, Loss: 0.2221175730228424
Epoch 1, Loss: 0.2514473795890808
Epoch 1, Loss: 0.35756635665893555
Epoch 1, Loss: 0.20852437615394592
Epoch 1, Loss: 0.2073264867067337
Epoch 1, Loss: 0.27428650856018066
Epoch 1, Loss: 0.21858200430870056
Epoch 1, Loss: 0.21345701813697815
Epoch 1, Loss: 0.33860430121421814
Epoch 1, Loss: 0.2700832188129425
Epoch 1, Loss: 0.23602120578289032
Epoch 1, Loss: 0.16394145786762238
Epoch 1, Loss: 0.3310181200504303
Epoch 1, Loss: 0.17010366916656494
Epoch 1, Loss: 0.19761303067207336
Epoch 1, Loss: 0.12220442295074463
Epoch 1, Loss: 0.3190368711948395
Epoch 1, Loss: 0.2709222435951233
Epoch 1, Loss: 0.21712782979011536
Epoch 1, Loss: 0.14361588656902313
Epoch 1, Loss: 0.13711479306221008
Epoch 1, Loss: 0.20033583045005798
Epoch 1, Loss: 0.22226980328559875
Epoch 1, Loss: 0.19018599390983582
Epoch 1, Loss: 0.25239893794059753
Epoch 1, Loss: 0.20646484196186066
Epoch 1, Loss: 0.170277401804924
Epoch 1, Loss: 0.1848772019147873
Epoch 1, Loss: 0.12707093358039856
Epoch 1, Loss: 0.2843635082244873
Epoch 1, Loss: 0.1875101625919342
Epoch 1, Loss: 0.23960165679454803
Epoch 1, Loss: 0.2707626223564148
Epoch 1, Loss: 0.13124112784862518
Epoch 1, Loss: 0.21053704619407654
Epoch 1, Loss: 0.19076475501060486
Epoch 1, Loss: 0.15431348979473114
Epoch 1, Loss: 0.15978452563285828
Epoch 1, Loss: 0.24327118694782257
Epoch 1, Loss: 0.17210432887077332
Epoch 1, Loss: 0.17291882634162903
Epoch 1, Loss: 0.11507967859506607
Epoch 1, Loss: 0.22718235850334167
Epoch 1, Loss: 0.14191654324531555
Epoch 1, Loss: 0.19626159965991974
Epoch 1, Loss: 0.24390311539173126
Epoch 1, Loss: 0.17264047265052795
Epoch 1, Loss: 0.212480828166008
Epoch 1, Loss: 0.11472859233617783
Epoch 1, Loss: 0.13532856106758118
Epoch 1, Loss: 0.24265603721141815
Epoch 1, Loss: 0.14176899194717407
Epoch 1, Loss: 0.16076809167861938
Epoch 1, Loss: 0.10992830991744995
Epoch 1, Loss: 0.08110035955905914
Epoch 1, Loss: 0.08143914490938187
Epoch 1, Loss: 0.22538673877716064
Epoch 1, Loss: 0.11010615527629852
Epoch 1, Loss: 0.10611478239297867
Epoch 1, Loss: 0.08042587339878082
Epoch 1, Loss: 0.21018442511558533
Epoch 1, Loss: 0.187073215842247
Epoch 1, Loss: 0.15678468346595764
Epoch 1, Loss: 0.1832333356142044
Epoch 1, Loss: 0.08274158090353012
Epoch 1, Loss: 0.119407057762146
Epoch 1, Loss: 0.19053658843040466
Epoch 1, Loss: 0.1529969722032547
Epoch 1, Loss: 0.14629389345645905
Epoch 1, Loss: 0.17609159648418427
Epoch 1, Loss: 0.15387465059757233
Epoch 1, Loss: 0.16094674170017242
Epoch 1, Loss: 0.15717251598834991
Epoch 1, Loss: 0.1769048422574997
Epoch 1, Loss: 0.13265292346477509
Epoch 1, Loss: 0.09751620143651962
Epoch 1, Loss: 0.14376255869865417
Epoch 1, Loss: 0.12394915521144867
Epoch 1, Loss: 0.09718342125415802
Epoch 1, Loss: 0.12454495579004288
